Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W),Wage Difference,Annual Difference,Cents per dollar,Gender Gap
Postal service mail carriers,259.0,992.0,155.0,1008.0,104.0,978.0,30.0,1560.0,97.02,2.976190476190476
"Production, planning, and expediting clerks",184.0,1115.0,93.0,1174.0,91.0,1018.0,156.0,8112.0,86.71,13.287904599659283
"Shipping, receiving, and inventory clerks",537.0,725.0,346.0,748.0,191.0,696.0,52.0,2704.0,93.05,6.951871657754011
"Secretaries and administrative assistants, except legal, medical, and executive",1532.0,819.0,127.0,1006.0,1405.0,807.0,199.0,10348.0,80.22,19.781312127236582
Insurance claims and policy processing clerks,262.0,763.0,60.0,754.0,202.0,766.0,-12.0,-624.0,101.59,-1.5915119363395225
"Office clerks, general",927.0,744.0,157.0,823.0,770.0,726.0,97.0,5044.0,88.21,11.7861482381531
"Office and administrative support workers, all other",582.0,890.0,187.0,949.0,395.0,874.0,75.0,3900.0,92.1,7.903055848261328
"Natural resources, construction, and maintenance occupations",11182.0,919.0,10635.0,930.0,547.0,696.0,234.0,12168.0,74.84,25.161290322580644
"Farming, fishing, and forestry occupations",800.0,623.0,651.0,637.0,149.0,585.0,52.0,2704.0,91.84,8.16326530612245
Miscellaneous agricultural workers,641.0,613.0,531.0,617.0,110.0,590.0,27.0,1404.0,95.62,4.376012965964344
Construction and extraction occupations,6171.0,904.0,5965.0,908.0,207.0,720.0,188.0,9776.0,79.3,20.704845814977972
"Installation, maintenance, and repair occupations",4211.0,1017.0,4019.0,1023.0,192.0,836.0,187.0,9724.0,81.72,18.27956989247312
"Production, transportation, and material moving occupations",15590.0,774.0,12056.0,825.0,3535.0,638.0,187.0,9724.0,77.33,22.666666666666664
Production occupations,7107.0,809.0,5251.0,884.0,1856.0,653.0,231.0,12012.0,73.87,26.131221719457017
First-line supervisors of production and operating workers,738.0,1080.0,601.0,1138.0,137.0,796.0,342.0,17784.0,69.95,30.052724077328648
Other assemblers and fabricators,894.0,710.0,579.0,751.0,315.0,664.0,87.0,4524.0,88.42,11.584553928095872
Bakers,143.0,614.0,57.0,664.0,86.0,599.0,65.0,3380.0,90.21,9.789156626506024
"Food processing workers, all other",136.0,734.0,84.0,818.0,52.0,648.0,170.0,8840.0,79.22,20.78239608801956
Other metal workers and plastic workers,340.0,769.0,276.0,783.0,64.0,731.0,52.0,2704.0,93.36,6.641123882503193
"Inspectors, testers, sorters, samplers, and weighers",750.0,883.0,466.0,1005.0,283.0,733.0,272.0,14144.0,72.94,27.064676616915424
Packaging and filling machine operators and tenders,251.0,671.0,133.0,755.0,118.0,605.0,150.0,7800.0,80.13,19.867549668874172
Other production workers,1022.0,761.0,742.0,809.0,280.0,630.0,179.0,9308.0,77.87,22.126081582200246
Transportation and material moving occupations,8483.0,738.0,6804.0,786.0,1679.0,624.0,162.0,8424.0,79.39,20.610687022900763
Supervisors of transportation and material moving workers,310.0,996.0,241.0,1077.0,68.0,779.0,298.0,15496.0,72.33,27.669452181987005
"Bus drivers, school",125.0,710.0,57.0,712.0,69.0,695.0,17.0,884.0,97.61,2.387640449438202
"Bus drivers, transit and intercity",182.0,801.0,111.0,942.0,71.0,679.0,263.0,13676.0,72.08,27.919320594479828
Driver/sales workers and truck drivers,2680.0,920.0,2499.0,933.0,181.0,732.0,201.0,10452.0,78.46,21.54340836012862
Industrial truck and tractor operators,581.0,743.0,526.0,746.0,55.0,713.0,33.0,1716.0,95.58,4.423592493297587
"Laborers and freight, stock, and material movers, hand",1649.0,689.0,1294.0,703.0,355.0,624.0,79.0,4108.0,88.76,11.2375533428165
"Packers and packagers, hand",541.0,614.0,233.0,633.0,308.0,603.0,30.0,1560.0,95.26,4.739336492890995
Stockers and order fillers,1151.0,612.0,752.0,620.0,400.0,603.0,17.0,884.0,97.26,2.741935483870968
