Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
"Sales representatives, wholesale and manufacturing",1014.00,1263.00,712.00,1356.00,301.00,1157.00
"Models, demonstrators, and product promoters",4.00,–,1.00,–,3.00,–
Real estate brokers and sales agents,524.00,1141.00,222.00,1324.00,302.00,1037.00
Sales engineers,29.00,–,29.00,–,0.00,–
Telemarketers,22.00,–,9.00,–,13.00,–
"Door-to-door sales workers, news and street vendors, and related workers",17.00,–,7.00,–,10.00,–
"Sales and related workers, all other",298.00,943.00,157.00,1017.00,140.00,843.00
Office and administrative support occupations,12467.00,806.00,3587.00,899.00,8880.00,779.00
First-line supervisors of office and administrative support workers,1098.00,964.00,341.00,1184.00,757.00,913.00
"Switchboard operators, including answering service",8.00,–,2.00,–,6.00,–
Telephone operators,17.00,–,5.00,–,11.00,–
"Communications equipment operators, all other",3.00,–,1.00,–,2.00,–
Bill and account collectors,81.00,726.00,22.00,–,59.00,742.00
Billing and posting clerks,398.00,772.00,53.00,767.00,346.00,774.00
"Bookkeeping, accounting, and auditing clerks",741.00,825.00,137.00,1009.00,604.00,802.00
Gambling cage workers,15.00,–,3.00,–,12.00,–
Payroll and timekeeping clerks,144.00,921.00,19.00,–,125.00,913.00
Procurement clerks,35.00,–,18.00,–,17.00,–
Tellers,173.00,695.00,40.00,–,132.00,691.00
"Financial clerks, all other",95.00,909.00,36.00,–,59.00,833.00
Brokerage clerks,9.00,–,4.00,–,5.00,–
Correspondence clerks,1.00,–,0.00,–,1.00,–
"Court, municipal, and license clerks",69.00,811.00,16.00,–,53.00,778.00
"Credit authorizers, checkers, and clerks",40.00,–,14.00,–,26.00,–
Customer service representatives,1863.00,780.00,645.00,867.00,1219.00,737.00
"Eligibility interviewers, government programs",67.00,840.00,11.00,–,56.00,790.00
File Clerks,126.00,775.00,29.00,–,98.00,791.00
"Hotel, motel, and resort desk clerks",74.00,652.00,20.00,–,54.00,653.00
"Interviewers, except eligibility and loan",172.00,772.00,43.00,–,130.00,775.00
"Library assistants, clerical",29.00,–,3.00,–,26.00,–
Loan interviewers and clerks,126.00,899.00,34.00,–,91.00,886.00
New accounts clerks,9.00,–,4.00,–,5.00,–
Order clerks,89.00,714.00,37.00,–,52.00,712.00
"Human resources assistants, except payroll and timekeeping",37.00,–,7.00,–,30.00,–
Receptionists and information clerks,871.00,685.00,97.00,796.00,774.00,674.00
Reservation and transportation ticket agents and travel clerks,74.00,786.00,34.00,–,39.00,–
"Information and record clerks, all other",98.00,774.00,19.00,–,79.00,751.00
Cargo and freight agents,3.00,–,3.00,–,0.00,–
Couriers and messengers,492.00,802.00,402.00,846.00,90.00,680.00
Public safety telecommunicators,82.00,911.00,24.00,–,58.00,908.00
"Dispatchers, except police, fire, and ambulance",163.00,812.00,92.00,842.00,71.00,765.00
"Meter readers, utilities",30.00,–,28.00,–,2.00,–
Postal service clerks,96.00,1047.00,31.00,–,66.00,1006.00
Postal service mail carriers,259.00,992.00,155.00,1008.00,104.00,978.00
"Postal service mail sorters, processors, and processing machine operators",76.00,879.00,39.00,–,37.00,–
"Production, planning, and expediting clerks",184.00,1115.00,93.00,1174.00,91.00,1018.00
"Shipping, receiving, and inventory clerks",537.00,725.00,346.00,748.00,191.00,696.00
"Weighers, measurers, checkers, and samplers, recordkeeping",42.00,–,29.00,–,12.00,–
Executive secretaries and executive administrative assistants,211.00,1027.00,10.00,–,201.00,1015.00
Legal secretaries and administrative assistants,46.00,–,2.00,–,44.00,–
Medical secretaries and administrative assistants,53.00,756.00,5.00,–,48.00,–
"Secretaries and administrative assistants, except legal, medical, and executive",1532.00,819.00,127.00,1006.00,1405.00,807.00
Data entry keyers,195.00,718.00,47.00,–,148.00,712.00
Word processors and typists,23.00,–,2.00,–,21.00,–
Desktop publishers,1.00,–,1.00,–,0.00,–
Insurance claims and policy processing clerks,262.00,763.00,60.00,754.00,202.00,766.00
"Mail clerks and mail machine operators, except postal service",40.00,–,24.00,–,16.00,–
"Office clerks, general",927.00,744.00,157.00,823.00,770.00,726.00
"Office machine operators, except computer",22.00,–,2.00,–,20.00,–
Proofreaders and copy markers,4.00,–,1.00,–,3.00,–
Statistical assistants,42.00,–,26.00,–,16.00,–
"Office and administrative support workers, all other",582.00,890.00,187.00,949.00,395.00,874.00
,,,,,,
