Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
MUS,63.0,Mauritius,0.347,82.0,61.0,24.6,20.0,64.4,70.8,43.4,70.4,0.789,0.811,76.8,70.4,15.9,14.5,10.0,10.9,15016.0,29221.0,,,1.0,,,1,89.375,,46.588708,29.63999939,1645.0,6640.0,60.0,1,,,,Africa
SRB,63.0,Serbia,0.131,36.0,12.0,14.9,39.2,88.6,95.3,46.6,62.3,0.794,0.808,77.2,71.2,15.0,13.9,11.0,11.8,15306.0,23270.0,19.16756,8.69038,1.0,28.5,18.2,1,93.75,96.2,52.0591408,18.37999916,2381.0,6553.0,100.0,1,,,,Europe
THA,66.0,Thailand,0.333,79.0,37.0,32.7,13.9,47.6,51.7,59.0,75.0,0.805,0.796,83.0,74.5,16.2,15.6,8.6,8.8,15457.0,18694.0,11.83333,3.75,1.0,64.4,64.8,0,78.125,,47.0009975,21.36000061,,,20.0,1,,,,Asia Pacific
ALB,67.0,Albania,0.144,39.0,15.0,14.5,35.7,95.4,93.0,50.7,66.2,0.799,0.794,79.2,74.1,15.3,13.7,11.7,10.9,11637.0,16630.0,21.73611,3.47222,1.0,20.7,18.1,1,91.25,69.0,54.6009834,15.35000038,562.0,2428.0,80.0,1,,,,Europe
BGR,68.0,Bulgaria,0.21,52.0,10.0,38.6,23.8,94.9,96.5,49.1,62.6,0.792,0.796,75.5,68.4,14.2,13.6,11.5,11.3,18109.0,28357.0,18.47222,9.23611,1.0,41.7,28.8,1,90.625,,54.1006503,11.81000042,,,100.0,1,,,,Europe
GRD,68.0,Grenada,,,25.0,32.7,32.1,,,,,,,77.9,72.2,19.3,18.1,,,,,,,1.0,57.3,24.0,0,80.625,,,,,,20.0,1,,,,
BRB,70.0,Barbados,0.268,64.0,27.0,42.3,29.4,95.4,86.0,56.1,63.7,0.799,0.773,79.4,75.6,17.7,13.8,10.3,9.1,10235.0,14555.0,,,0.0,43.5,25.4,0,80.0,,55.1735309,9.520000458,,,40.0,1,,,,
ATG,71.0,Antigua and Barbuda,,,42.0,33.1,31.4,,,,,,,80.9,75.8,15.2,13.2,,,,,,,0.0,21.3,17.5,0,66.25,,,,,,0.0,1,,,,
SYC,72.0,Seychelles,,,53.0,53.4,22.9,,,,,,,75.7,67.7,15.1,12.9,10.2,10.4,,,,,0.0,,,0,76.25,,,13.46000004,,,80.0,1,,,,Africa
LKA,73.0,Sri Lanka,0.383,92.0,36.0,15.7,5.4,84.0,84.2,30.9,68.5,0.755,0.795,79.5,73.1,14.5,13.8,10.8,10.8,7005.0,18573.0,,,0.0,26.1,8.8,0,65.625,,45.3726678,19.87000084,,,20.0,1,,,,Asia Pacific
